DATE,TXRGSP
1997-01-01,872763.1
1998-01-01,928374.4
1999-01-01,965676.6
2000-01-01,998296.5
2001-01-01,1021889.0
2002-01-01,1041811.0
2003-01-01,1048298.6
2004-01-01,1102696.3
2005-01-01,1132796.1
2006-01-01,1210286.8
2007-01-01,1274302.5
2008-01-01,1275773.6
2009-01-01,1271435.8
2010-01-01,1301726.7
2011-01-01,1343790.9
2012-01-01,1411378.7
2013-01-01,1472103.5
2014-01-01,1523057.2
2015-01-01,1596361.9
2016-01-01,1600260.2
2017-01-01,1646264.3
2018-01-01,1712764.0
